week_start,description,assigned_topic,topic_probability
2024-06-01,Tuesday's primaries will be the first since Donald Trump was convicted in New York and the last chance until November for Republicans to rebuke him.,-1,0.44840002
2024-06-08,Vivek Ramaswamy has warned that the White House is planning a “full-on offense on Russia” to fulfill its goal of regime change,18,0.39172775
2024-06-15,"Former Ku Klux Klan leader David Duke was spotted alongside supporters of fellow white supremacist and Holocaust denier Nick Fuentes, an online personality, in ...",4,0.4838544
2024-06-22,"Wikileaks founder Julian Assange’s release from custody has serious national security implications, especially when it comes to Russia.",55,0.4049446
2024-06-29,"Americans of different political convictions agree on President Biden’s cognitive decline, according to Elon Musk",0,0.5493291
2024-07-06,"DETROIT, Michigan — Former 2024 GOP presidential candidate businessman Vivek Ramaswamy told Breitbart News exclusively at the Turning Point Action People’s ...",45,0.7129389
2024-07-13,"If Trump and his running mate JD Vance are elected, Ohio Gov. Mike DeWine will need to fill the state's Senate seat, and some are suggesting Vivek Ramaswamy.",8,0.5972239
2024-07-20,Indian-American comedian Zarna Garg offered praise for JD Vance's wife Usha and shared her enthusiasm about the larger number of Indian-Americans getting involv...,45,0.50792944
2024-07-27,"The Democratic Party and their media allies are smearing vice presidential nominee JD Vance as ""weird"" because he dared to suggest policies to reward family for...",8,0.6765387
2024-08-03,Former GOP presidential candidate Vivek Ramaswamy said Vice President Harris made a strategic mistake in picking Minnesota Gov. Tim Walz as her running mate.,46,0.45474416
2024-08-10,"While the denouncement of the ongoing violence against Hindus in Bangladesh is appreciated, Vivek Ramaswamy missed some crucial points in his post. The 2024 ant...",12,0.5699321
2024-08-17,Vivek Ramaswamy spoke with Fox News Digital after the Trump campaign's counter-programming press conference on Day 4 of the Democratic National Convention.,45,0.57798773
2024-08-24,"Sen. Josh Hawley is grilling DHS over ""catastrophic failures"" to protect hundreds of thousands of migrant children from labor trafficking.",35,0.45370072
2024-08-31,Former GOP presidential candidate Vivek Ramaswamy debated CNN host Kate Bolduan over Vice President Kamala Harris' flip-flopping on her far-left policies.,45,0.4606565
2024-09-07,Former presidential candidate Vivek Ramaswamy talks to NBC News' Tom Llamas about how he believes Vice President Kamala Harris and former President Donald Trump...,45,0.67426485
2024-09-14,"Former presidential candidate Vivek Ramaswamy is partnering with Fox Nation to focus on ""truths"" and an alternative to the leftist vision for America in a round...",45,0.64272493
2024-09-21,"Former Republicans presidential candidate Vivek Ramaswamy urged Republicans to share their own vision for America instead of attacking the Democratic ""machine"" ...",45,0.507362
2024-09-28,Never Trump Republicans were the big losers from the vice-presidential debate. Sen. JD Vance's successful performance made it clear that the New Right will rema...,8,0.7667794
2024-10-05,"Ayman Mohyeldin reacts to Elon Musk's appearance at a Trump campaign rally in Butler, Pennsylvania, three months after his attempted assassination",0,0.5044019
2024-10-12,,20,0.37666395
2024-10-19,"Vice President Kamala Harris is campaigning with former President Barack Obama in Atlanta, Georgia, as former President Donald Trump stops in Arizona and Nevada...",0,0.55439955
2024-10-26,"Tuesday, during an appearance on FNC's",16,0.43402767
2024-11-02,Vivek Ramaswamy crashed a MAGA party before Penn State's loss to Ohio State Saturday and expressed confidence in Trump's early voting numbers in the state.,-1,0.5102725
2024-11-09,Vivek Ramaswamy was on “This Week” on ABC with host Jon Karl on Sunday and discussed President Trump and anticipating his new administration.,45,0.68695
2024-11-16,Vivek Ramaswamy said on this week's broadcast of FNC's,45,0.5239707
2024-11-23,"Vivek Ramaswamy criticized Biden's administration for its $6.6 billion loan to electric automaker Rivian, calling it a",60,0.5190909
