date,count
2024-05-01,53340
2024-05-02,26996
2024-05-03,36370
2024-05-04,151314
2024-05-05,141237
2024-05-06,27003
2024-05-07,303425
2024-05-08,269691
2024-05-09,19483
2024-05-10,269713
2024-05-11,235216
2024-05-12,168732
2024-05-13,35014
2024-05-14,63439
2024-05-15,48276
2024-05-16,48801
2024-05-17,97334
2024-05-18,94004
2024-05-19,50927
2024-05-20,67726
2024-05-21,74577
2024-05-22,78357
2024-05-23,81867
2024-05-24,77365
2024-05-25,170315
2024-05-26,136949
2024-05-27,80757
2024-05-28,37740
2024-05-29,39678
2024-05-30,53552
2024-05-31,60051
2024-06-01,32276
2024-06-02,38990
2024-06-03,26671
2024-06-04,2953
2024-06-05,19507
2024-06-06,144349
2024-06-07,4575
2024-06-08,3298
2024-06-09,4123
2024-06-10,316447
2024-06-11,429688
2024-06-12,398196
2024-06-13,405841
2024-06-14,381686
2024-06-15,303619
2024-06-16,306344
2024-06-17,363610
2024-06-18,384670
2024-06-19,318135
2024-06-20,280316
2024-06-21,253768
2024-06-22,272496
2024-06-23,41173
2024-06-24,38317
2024-06-25,38212
2024-06-26,40541
2024-06-27,37864
2024-06-28,29633
2024-06-29,34712
2024-06-30,6072
2024-07-01,199646
2024-07-02,202044
2024-07-03,203994
2024-07-04,175333
2024-07-05,163212
2024-07-06,158365
2024-07-07,558850
2024-07-08,507841
2024-07-09,518198
2024-07-10,557749
2024-07-11,625463
2024-07-12,691390
2024-07-13,738635
2024-07-14,1068235
2024-07-15,734484
2024-07-16,746723
2024-07-17,729393
2024-07-18,910403
2024-07-19,771987
2024-07-20,574445
2024-07-21,930008
2024-07-22,171
2024-07-23,309439
2024-07-24,268820
2024-07-25,300537
2024-07-26,216478
2024-07-27,29
2024-07-28,10
2024-07-29,12
2024-07-30,841
2024-07-31,0
2024-08-01,0
2024-08-02,0
2024-08-03,0
2024-08-04,51213
2024-08-05,51305
2024-08-06,0
2024-08-07,70559
2024-08-08,405073
2024-08-09,365329
2024-08-10,311982
2024-08-11,326416
2024-08-12,362808
2024-08-13,418972
2024-08-14,371347
2024-08-15,379181
2024-08-16,338294
2024-08-17,289763
2024-08-18,279560
2024-08-19,359454
2024-08-20,408583
2024-08-21,345472
2024-08-22,0
2024-08-23,0
2024-08-24,0
2024-08-25,29191
2024-08-26,0
2024-08-27,0
2024-08-28,0
2024-08-29,0
2024-08-30,0
2024-08-31,0
2024-09-01,52370
2024-09-02,52684
2024-09-03,52520
2024-09-04,50437
2024-09-05,51589
2024-09-06,50691
2024-09-07,0
2024-09-08,0
2024-09-09,33183
2024-09-10,48136
2024-09-11,237840
2024-09-12,68631
2024-09-13,91352
2024-09-14,0
2024-09-15,0
2024-09-16,1
2024-09-17,394835
2024-09-18,368624
2024-09-19,388904
2024-09-20,379999
2024-09-21,306398
2024-09-22,318110
2024-09-23,405515
2024-09-24,386007
2024-09-25,445059
2024-09-26,435275
2024-09-27,57504
2024-09-28,172511
2024-09-29,499999
2024-09-30,344721
2024-10-01,58317
2024-10-02,50142
2024-10-03,50164
2024-10-04,81562
2024-10-05,54200
2024-10-06,50163
2024-10-07,50148
2024-10-08,57633
2024-10-09,49654
2024-10-10,48307
2024-10-11,57315
2024-10-12,128879
2024-10-13,86284
2024-10-14,159435
2024-10-15,142449
2024-10-16,99967
2024-10-17,10
2024-10-18,40420
2024-10-19,76674
2024-10-20,18437
2024-10-21,54502
2024-10-22,108193
2024-10-23,61090
2024-10-24,133495
2024-10-25,31
2024-10-26,280
2024-10-27,13073
2024-10-28,11427
2024-10-29,179669
2024-10-30,188018
2024-10-31,178394
2024-11-01,40208
2024-11-02,13094
2024-11-03,1897
2024-11-04,1520
2024-11-05,2461
2024-11-06,122685
2024-11-07,263792
2024-11-08,9122
2024-11-09,87279
2024-11-10,3035
2024-11-11,119348
2024-11-12,1605
2024-11-13,100417
2024-11-14,0
2024-11-15,205837
2024-11-16,360170
2024-11-17,371599
2024-11-18,389796
2024-11-19,391448
2024-11-20,385127
